stop_id,stop_name,stop_lat,stop_lon,stop_code
1070,Sucharskiego - PKP 02,54.371826052906,18.683299608698,1070
1080,Przystań Żeglugi 02,54.402959708796,18.682484392498,1080
1081,Ku Ujściu 03,54.380214830033,18.680563174241,1081
1082,Ku Ujściu 04,54.378180853651,18.678106165403,1082
1086,Brodnicka 02,54.345503439419,18.476693137845,1086
1090,Siennicka 02,54.356773752656,18.679375599717,1090
1102,Miałki Szlak 01,54.349290630938,18.680120604151,1102
1108,Michałki 01,54.34719964854,18.718015736464,1108
1110,Rafineria 01,54.344036766024,18.721899207542,1110
1111,Rafineria 02,54.343165142854,18.723347583482,1111
1112,Rejenta 02,54.342192420925,18.605328001251,1112
1115,Zosi 01,54.343474502954,18.61059267042,1115
1117,Świtezianki 02,54.34570720017,18.613479078931,1117
1118,Soplicy 01,54.345039012379,18.606978159376,1118
1121,Chrobrego 01,54.38814850368,18.615760081116,1121
1129,Olsztyńska 04,54.405478251946,18.604275583979,1129
1134,Pole Namiotowe 01,54.342390291996,18.86483196884,1134
1136,Lazurowa 01,54.341660596003,18.872885526465,1136
1137,Lazurowa 02,54.341346717195,18.873947927568,1137
1145,Kempingowa 02,54.336643248705,18.915033400124,1145
1150,Świbnieńska I 01,54.329590765718,18.933031826003,1150
1154,Świbnieńska III 01,54.31492373343,18.93061538767,1154
1160,Oczyszczalnia 01,54.342168882803,18.757990127564,1160
1163,Naftowa 02,54.342931652688,18.770042064783,1163
1164,Płońska 01,54.347049574908,18.773973694551,1164
1165,Płońska 02,54.346960052472,18.773993922122,1165
1166,Zagroble 01,54.346931405588,18.78513604449,1166
1173,Nowa Gdańska 01,54.396812738183,18.634392606979,1173
1174,Jodowa 01,54.345856958455,18.820414806785,1174
1179,Nadwiślańska 02,54.348947217749,18.803939743633,1179
1180,Ornitologów 01,54.349093876975,18.798669132762,1180
1183,Sierpowa 01,54.337864434021,18.674041239204,1183
1184,Bratki 01,54.334633707825,18.671070101267,1184
1190,Muzeum Narodowe 01,54.344770080855,18.648154681011,1190
1192,Dolna 01,54.343342643399,18.658883754819,1192
1197,Brama Nizinna 02,54.340961136103,18.648295291085,1197
1208,Rejtana 01,54.328420893142,18.634076124819,1208
1209,Rejtana 02,54.328150532962,18.633584077135,1209
1211,Gościnna 02,54.323234046351,18.63134424309,1211
1218,Niegowska 01,54.301408554252,18.6314451557,1218
1219,Węzeł Lipce 02,54.298041569793,18.632576070243,1219
1230,Małomiejska 01,54.329075449013,18.617549685627,1230
1237,Zaroślak 04,54.341836645182,18.641567728016,1237
1238,Cmentarna 01,54.340786011105,18.635658239945,1238
1241,Wronki 01,54.342250971339,18.628311796378,1241
1246,Cieszyńskiego 03,54.338262380947,18.609787369507,1246
1247,Sikorskiego 03,54.338864060516,18.618845035623,1247
1260,Urząd Miejski 02,54.351356244063,18.639237149283,1260
1263,Zakopiańska 03,54.348996042997,18.617043309006,1263
1267,Zielony Stok 02,54.346060084635,18.598193917179,1267
1269,Pagórkowa 02,54.345010412038,18.590638358245,1269
1270,Myśliwska 01,54.344144618314,18.581964500066,1270
1272,Lipowa 01,54.339456289899,18.576362557223,1272
1273,Lipowa 02,54.339972127693,18.576532211246,1273
1278,Jasień Działki 01,54.344322258432,18.542270174016,1278
1279,Jasień Działki 02,54.344624834467,18.541236536762,1279
1281,Węzeł Karczemki 02,54.347322329897,18.528502994338,1281
1283,Karczemki 02,54.35038362156,18.509497535855,1283
1286,Fabryczna 01,54.35306668633,18.494929387736,1286
1290,Nowatorów 03,54.364022273477,18.491737592205,1290
1291,Nowatorów 02,54.365072544186,18.490364954482,1291
1294,Gronostajowa 01,54.342802143612,18.549300361124,1294
1304,Kiełpino - Szkoła 01,54.339764580099,18.508108889567,1304
1310,Cmentarz Łostowicki 02,54.339936618559,18.601289700349,1310
1316,Płocka 03,54.329094224497,18.598552497062,1316
1319,Orląt Lwowskich 02,54.323200157452,18.602786968501,1319
1322,Przebiśniegowa 01,54.315855015663,18.593742228667,1322
1323,Przebiśniegowa 02,54.316129089442,18.593510954746,1323
1326,Starogardzka 04,54.301617001096,18.60694692034,1326
1327,Starogardzka 01,54.301868302666,18.608285011804,1327
1339,Kurpińskiego 02,54.355249766465,18.596487931668,1339
1340,Nad Jarem 01,54.353761105166,18.614335720574,1340
1345,Jaśkowa Dolina 05,54.377827751533,18.606656695505,1345
1349,Siedlicka 02,54.370053564058,18.611296963956,1349
1351,Kręta 02,54.367009035773,18.612813161859,1351
1360,Schuberta 01,54.357779514321,18.600280596009,1360
1368,Strzelnica 01,54.365019721885,18.589174224094,1368
1373,Budapesztańska 04,54.355736935487,18.578143600898,1373
1376,Budapesztańska 03,54.355686732077,18.578777607033,1376
1378,Brętowo PKM 03,54.364115450079,18.573663215621,1378
1388,Niedźwiednik PKM 03,54.377970149782,18.574616803873,1388
1389,Niedźwiednik PKM 02,54.377417813943,18.572632023885,1389
1393,Potokowa 03,54.374511878348,18.566721093818,1393
1394,Słowackiego Działki 01,54.370578780624,18.55626814545,1394
1395,Słowackiego Działki 02,54.371006611465,18.555642231793,1395
1397,Harfowa 02,54.376547996893,18.524945131325,1397
1400,Astronautów 01,54.377083796369,18.502952824153,1400
1410,Spadochroniarzy 02,54.385705248355,18.470575565522,1410
1415,Rakietowa 02,54.370087606933,18.481236356118,1415
